incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.31074817E8,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,12/22/2013 08:00:00 AM +0000,13:40,TENDERLOIN,"ARREST, CITED",0 Block of OFARRELL ST,-122.405795379675,37.7867246331696,"(37.7867246331696, -122.405795379675)",12996
1.30996117E8,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Sunday,11/24/2013 08:00:00 AM +0000,09:00,MISSION,"ARREST, CITED",17TH ST / FOLSOM ST,-122.415155941054,37.7636979308883,"(37.7636979308883, -122.415155941054)",21938
1.31017033E8,ROBBERY,"ROBBERY, ARMED WITH A GUN",Monday,12/02/2013 08:00:00 AM +0000,12:20,SOUTHERN,"ARREST, BOOKED",1600 Block of MARKET ST,-122.421799428248,37.7731973057375,"(37.7731973057375, -122.421799428248)",19392
1.31070871E8,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Thursday,12/19/2013 08:00:00 AM +0000,01:00,PARK,NONE,0 Block of BAKER ST,-122.440437959076,37.7714505591357,"(37.7714505591357, -122.440437959076)",13972
1.31020597E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,12/03/2013 08:00:00 AM +0000,15:39,BAYVIEW,"ARREST, BOOKED",PHELPS ST / JERROLD AV,-122.391269032991,37.7398531385192,"(37.7398531385192, -122.391269032991)",19031
1.30983716E8,ASSAULT,THREATS AGAINST LIFE,Sunday,11/17/2013 08:00:00 AM +0000,18:00,BAYVIEW,NONE,1800 Block of PALOU AV,-122.396249237948,37.7371396759818,"(37.7371396759818, -122.396249237948)",24332
1.30934731E8,NON-CRIMINAL,FOUND PROPERTY,Sunday,11/03/2013 07:00:00 AM +0000,22:55,MISSION,NONE,COLLINGWOOD ST / 18TH ST,-122.436115302042,37.7608228396674,"(37.7608228396674, -122.436115302042)",29516
1.30931141E8,TRESPASS,TRESPASSING,Saturday,11/02/2013 07:00:00 AM +0000,12:50,TENDERLOIN,"ARREST, BOOKED",300 Block of OFARRELL ST,-122.410225059558,37.7861020865174,"(37.7861020865174, -122.410225059558)",29809
1.40094422E8,MISSING PERSON,MISSING ADULT,Monday,01/13/2014 08:00:00 AM +0000,13:00,NORTHERN,NONE,600 Block of EDDY ST,-122.418706597808,37.7831945685172,"(37.7831945685172, -122.418706597808)",6268
1.31047284E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,12/13/2013 08:00:00 AM +0000,10:16,INGLESIDE,"ARREST, CITED",MISSION ST / LEO ST,-122.436468268445,37.7224642384928,"(37.7224642384928, -122.436468268445)",15821
1.31015902E8,WARRANTS,WARRANT ARREST,Monday,12/02/2013 08:00:00 AM +0000,06:22,BAYVIEW,"ARREST, BOOKED",NEWHALL ST / MCKINNON AV,-122.391090325597,37.7369085657287,"(37.7369085657287, -122.391090325597)",19434
1.46022594E8,NON-CRIMINAL,LOST PROPERTY,Monday,01/06/2014 08:00:00 AM +0000,15:00,RICHMOND,NONE,700 Block of 4TH AV,-122.46170508404,37.7744754628108,"(37.7744754628108, -122.46170508404)",8781
1.40092987E8,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,01/31/2014 08:00:00 AM +0000,21:00,NORTHERN,NONE,100 Block of ELM ST,-122.418994924145,37.7815808975774,"(37.7815808975774, -122.418994924145)",139
1.40067162E8,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,01/23/2014 08:00:00 AM +0000,14:47,RICHMOND,PSYCHOPATHIC CASE,700 Block of 7TH AV,-122.464939649174,37.7746740400352,"(37.7746740400352, -122.464939649174)",2923
1.31086163E8,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Thursday,12/26/2013 08:00:00 AM +0000,08:00,PARK,NONE,SHRADER ST / OAK ST,-122.45224265737,37.7712286761869,"(37.7712286761869, -122.45224265737)",12189
1.36216183E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,11/14/2013 08:00:00 AM +0000,12:00,NORTHERN,NONE,1500 Block of EDDY ST,-122.43268673636,37.781417349733,"(37.781417349733, -122.43268673636)",25374
1.31056815E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,12/16/2013 08:00:00 AM +0000,16:40,BAYVIEW,"ARREST, BOOKED",2400 Block of SAN BRUNO AV,-122.405642292762,37.7324099289962,"(37.7324099289962, -122.405642292762)",15076
1.40050139E8,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,01/16/2014 08:00:00 AM +0000,19:00,RICHMOND,NONE,300 Block of 22ND AV,-122.481502487905,37.7805994465561,"(37.7805994465561, -122.481502487905)",5085
1.40070052E8,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/22/2014 08:00:00 AM +0000,21:45,BAYVIEW,NONE,ILLINOIS ST / MARIPOSA ST,-122.38792119559,37.7643790292129,"(37.7643790292129, -122.38792119559)",3035
1.30933749E8,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,11/02/2013 07:00:00 AM +0000,23:15,MISSION,NONE,24TH ST / FOLSOM ST,-122.414089000708,37.7525050785757,"(37.7525050785757, -122.414089000708)",29659
1.40063308E8,MISSING PERSON,MISSING JUVENILE,Tuesday,01/21/2014 08:00:00 AM +0000,14:30,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.410894438467,37.7836261627228,"(37.7836261627228, -122.410894438467)",3397
1.40081952E8,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,01/28/2014 08:00:00 AM +0000,09:05,BAYVIEW,NONE,1500 Block of UNDERWOOD AV,-122.390066514887,37.7289116245717,"(37.7289116245717, -122.390066514887)",1116
1.40080437E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/27/2014 08:00:00 AM +0000,18:21,BAYVIEW,"ARREST, CITED",WILLIAMS AV / NEPTUNE ST,-122.397179164646,37.7299104143284,"(37.7299104143284, -122.397179164646)",1314
1.30936232E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,11/04/2013 08:00:00 AM +0000,14:04,SOUTHERN,"ARREST, CITED",600 Block of HARRISON ST,-122.396924890511,37.783075293901,"(37.783075293901, -122.396924890511)",29119
1.31059449E8,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,12/17/2013 08:00:00 AM +0000,11:55,INGLESIDE,PSYCHOPATHIC CASE,0 Block of GATES ST,-122.413864441176,37.7415355342092,"(37.7415355342092, -122.413864441176)",14729
1.40076806E8,LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,01/24/2014 08:00:00 AM +0000,03:30,CENTRAL,NONE,POWELL ST / BUSH ST,-122.408787528948,37.7901578215257,"(37.7901578215257, -122.408787528948)",2637
1.46014438E8,NON-CRIMINAL,LOST PROPERTY,Saturday,01/18/2014 08:00:00 AM +0000,18:30,MISSION,NONE,MISSION ST / 25TH ST,-122.418289276866,37.750640293923,"(37.750640293923, -122.418289276866)",4539
1.40091337E8,NON-CRIMINAL,AIDED CASE,Friday,01/31/2014 08:00:00 AM +0000,09:00,TARAVAL,LOCATED,0 Block of DARIEN WY,-122.471120269018,37.7318935166108,"(37.7318935166108, -122.471120269018)",227
1.30956434E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,11/11/2013 08:00:00 AM +0000,11:00,RICHMOND,NONE,FULTON ST / 3RD AV,-122.460552664492,37.7740299858693,"(37.7740299858693, -122.460552664492)",26827
1.30997604E8,TRESPASS,TRESPASSING,Sunday,11/24/2013 08:00:00 AM +0000,21:05,TARAVAL,"ARREST, CITED",1500 Block of 45TH AV,-122.504526860589,37.7577671905261,"(37.7577671905261, -122.504526860589)",22127
1.31049387E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,12/13/2013 08:00:00 AM +0000,20:00,MISSION,NONE,0 Block of FORD ST,-122.430947712119,37.7620461157657,"(37.7620461157657, -122.430947712119)",15865
1.3098197E8,WARRANTS,WARRANT ARREST,Tuesday,11/19/2013 08:00:00 AM +0000,21:08,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.4124321618,37.7829675794598,"(37.7829675794598, -122.4124321618)",23667
1.30936715E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,11/04/2013 08:00:00 AM +0000,16:56,SOUTHERN,"ARREST, CITED",MARKET ST / 10TH ST,-122.417504703145,37.7765400380328,"(37.7765400380328, -122.417504703145)",29110
1.40011062E8,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,12/27/2013 08:00:00 AM +0000,19:15,SOUTHERN,NONE,8TH ST / MISSION ST,-122.41316085097,37.7774566611807,"(37.7774566611807, -122.41316085097)",11856
1.30996305E8,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,11/23/2013 08:00:00 AM +0000,23:00,INGLESIDE,NONE,29TH ST / MISSION ST,-122.420896598735,37.7440381549154,"(37.7440381549154, -122.420896598735)",22318
1.40088447E8,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,01/30/2014 08:00:00 AM +0000,08:00,TARAVAL,NONE,3500 Block of VICENTE ST,-122.504560818129,37.7380068170233,"(37.7380068170233, -122.504560818129)",394
1.40080807E8,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01/27/2014 08:00:00 AM +0000,18:00,BAYVIEW,NONE,300 Block of WILLIAMS AV,-122.399382667574,37.730190842828,"(37.730190842828, -122.399382667574)",1454
1.40010666E8,NON-CRIMINAL,FOUND PROPERTY,Friday,01/03/2014 08:00:00 AM +0000,18:00,MISSION,NONE,2100 Block of MISSION ST,-122.419473094737,37.7634261769454,"(37.7634261769454, -122.419473094737)",9533
1.31098102E8,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,12/30/2013 08:00:00 AM +0000,17:30,TARAVAL,NONE,100 Block of KENSINGTON WY,-122.460135193454,37.7411995522774,"(37.7411995522774, -122.460135193454)",10799
1.31074679E8,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,12/22/2013 08:00:00 AM +0000,02:00,MISSION,NONE,400 Block of 14TH ST,-122.424339883158,37.7680434448497,"(37.7680434448497, -122.424339883158)",12991
